lat,lon,direction,turn_angle,code
51.07267,2.66185,L,0,1
51.07298,2.66175,L,90,0
51.07305,2.66117,L,0,2
51.07257,2.65929,L,90,0
51.0719,2.65997,L,0,2
51.07183,2.66006,R,90,0
51.07158,2.65876,L,90,0
51.07137,2.65884,R,90,2
51.07136,2.65869,L,90,0
51.07058,2.65906,L,0,2
51.07043,2.65906,L,0,2
51.07035,2.65913,R,90,0
51.07012,2.65838,L,0,2
51.07013,2.65827,L,90,0
51.06873,2.66058,R,90,0
51.0687,2.66056,L,90,0
51.06825,2.66108,R,90,0
51.06823,2.66105,L,90,0
51.06833,2.66419,R,0,2
51.06835,2.66429,R,90,0
51.06812,2.66444,L,90,0
51.06852,2.66735,L,90,0
51.07052,2.66824,L,90,0
51.07071,2.66786,R,0,2
51.07075,2.66781,L,90,0
51.07045,2.66749,R,90,0
51.07105,2.66563,R,90,0
51.07151,2.66587,L,90,2
51.07154,2.66571,R,75,0
51.07157,2.66569,L,0,2
51.07208,2.66566,L,80,0
51.07212,2.66439,R,90,2
51.07219,2.66435,L,90,0
51.07218,2.66428,R,90,0
51.07275,2.66411,L,0,2
51.07281,2.66411,L,90,0
51.0727,2.6626,L,0,2
51.07267,2.66185,L,0,3
